,zipcode,Foreign,Uninsured,vehicle,foodStamp,poverty,urban,TeenBirthRate,PrematureBirth,LowBirthWeight
105,10518,0.9472259810554804,4.465493910690121,0.0,33.42354533152909,8.5,1,0.0,19.2,15.4
107,10520,5.899820270375869,5.899820270375869,1.7895255294697094,40.69703836836759,3.3,1,0.0,11.2,6.6
109,10522,7.60535359016097,5.995659251220835,1.9213503321960852,33.27907397359377,5.1,1,2.1,13.7,7.0
110,10523,19.98233605652462,14.683153013910356,1.6686069072564995,30.503422389048357,7.7,1,7.9,10.1,7.7
111,10524,4.029990627928772,3.701968134957825,0.4575495678698526,34.06747891283974,7.1,1,0.0,6.3,7.5
113,10526,0.657030223390276,0.3942181340341656,2.2222222222222223,40.341655716162954,2.5,1,0.0,6.9,6.5
115,10527,0.11961722488038275,1.9138755980861244,0.0,33.01435406698565,3.6,1,18.5,25.0,15.0
116,10528,18.42185825807439,4.079289759681616,3.61088211046991,35.12168988213684,6.9,1,1.6,8.4,5.4
117,10530,9.28125,4.0546875,3.5849606528708837,44.828125,5.4,1,1.3,13.7,9.8
118,10532,3.407053197848177,2.251444510858737,0.4334633723450369,33.11416616855947,3.9,1,0.0,4.7,3.8
119,10533,4.6640316205533585,1.6337285902503291,0.7508342602892102,34.13702239789196,5.0,1,0.0,12.7,9.3
120,10535,0.0,0.0,0.0,38.83211678832117,0.0,1,,17.6,11.8
121,10536,4.213457076566125,2.5707656612528997,1.812807881773399,32.102088167053374,2.5,1,0.8,7.9,5.4
123,10537,6.424399740428294,5.4510058403634005,0.0,37.37832576249189,6.6,1,30.3,4.8,3.1
124,10538,6.543844957530805,1.010886469673406,1.1446012972148036,35.57243689436535,2.9,1,0.0,8.7,4.7
126,10541,3.860301088316712,5.619809639376586,1.6289262235208182,32.778430852072354,2.6,1,4.1,13.4,10.1
128,10543,14.547304170905392,8.317589497650534,8.772449180974935,36.801821440682076,8.6,1,5.7,10.6,7.9
130,10546,14.584787159804607,0.0,2.595419847328244,32.93789253314724,0.5,1,0.0,16.7,11.1
131,10547,8.09542956708216,3.457981503819864,3.2006245120999215,34.633427154536925,7.3,1,4.2,13.6,9.5
132,10548,2.972336668628605,4.120070629782225,2.071005917159764,38.11065332548558,8.6,1,12.2,9.6,8.2
133,10549,19.037265205049227,14.030319502325302,9.606829385595768,35.23585190553845,9.2,1,6.9,10.9,6.6
135,10550,17.197908649380288,12.78696356060405,21.43287539166064,35.054008864354145,18.6,1,27.2,15.0,10.8
136,10552,12.135575942915391,9.046890927624872,10.041799363057324,41.42201834862385,11.5,1,4.0,11.6,7.5
137,10553,12.511785781633039,11.653780878747881,12.83991003884686,30.944748255704322,15.4,1,17.9,12.7,10.9
138,10560,4.198782961460446,7.0993914807302225,0.9783071033602722,35.172413793103445,4.7,1,0.0,3.1,2.1
141,10562,21.294692077492517,16.730193731296268,12.3498594428827,31.64592849267601,11.0,1,17.3,11.1,7.4
143,10566,19.960795762605837,13.842432330983861,8.524480774042873,38.28669141260374,12.4,1,34.5,10.5,8.3
145,10567,4.861514623281038,4.294983536703468,0.9364820846905538,33.527019174898314,5.1,1,3.3,11.8,7.7
147,10570,4.187875983341047,3.8948017892950793,1.495581237253569,31.729137744871203,1.9,1,1.1,12.2,8.7
149,10573,26.56963909851635,20.491298321269053,12.743025114743952,32.18081010318805,11.7,1,17.4,10.7,5.8
152,10576,3.567035670356704,2.173021730217302,0.4608294930875576,38.376383763837644,2.7,1,0.0,8.6,7.6
156,10577,9.357713583282116,5.055316533497233,5.670567056705671,12.79963122311002,16.6,1,0.0,12.5,5.7
159,10578,14.116251482799525,10.083036773428233,0.0,36.536180308422296,2.7,1,0.0,0.0,0.0
161,10579,2.5005297732570457,3.517694426785336,1.892066222317781,33.64060182242,5.5,1,2.2,7.6,5.3
163,10580,7.290098436595253,2.3335263462652,2.051963389430174,33.566878980891715,3.4,1,0.0,8.9,4.1
166,10583,9.132670894292703,2.0022968991860988,2.7849068967400212,34.206321466020874,3.6,1,0.2,9.8,5.7
167,10588,2.7292576419213974,4.912663755458515,0.0,38.90101892285298,0.1,1,3.7,10.2,8.2
168,10589,2.4813089175425294,2.362119406219525,1.7618641659562375,41.05536894571459,3.0,1,0.0,13.4,9.3
170,10590,2.3497188986593627,4.209312382874442,0.18028846153846154,35.72149344096872,2.6,1,0.0,5.3,3.6
172,10591,15.555270582200565,9.11344789262204,9.69437761739285,37.74472086859878,11.2,1,11.0,9.9,9.0
174,10594,2.423167848699764,3.506698187549252,1.5719467956469164,30.26004728132388,3.8,1,1.8,9.4,6.2
175,10595,9.0688357411679,4.4676459876168515,3.7092882991556095,27.643559548379265,11.7,1,1.6,9.6,8.2
177,10597,0.0,0.0,0.0,33.62218370883882,0.0,0,0.0,12.5,5.9
178,10598,3.4962189290922034,2.370375394214792,1.3943950786056047,35.063922140459155,2.3,1,1.6,10.2,8.2
180,10601,19.619758659605868,11.112075701015714,20.34501155966566,45.09940098966925,20.2,1,25.3,12.7,7.7
181,10603,12.301336852372485,8.1760284583166,5.895552835577315,38.74576854667507,6.7,1,14.8,13.4,8.7
182,10604,15.117008876535461,9.226217161301893,3.0048291897692723,34.492961535013,9.5,1,4.3,13.9,11.6
185,10605,11.923297080709787,8.368631940469376,6.142098273572378,37.870635374928455,8.0,1,3.9,14.9,7.9
187,10606,28.817169069462643,20.9043250327654,13.100483610961847,31.25273044997816,10.7,1,23.4,13.5,6.2
188,10607,12.180429033205993,10.020570085218925,1.2045037968054464,32.50073464590068,6.4,1,7.0,10.3,6.2
189,10701,15.75771995717272,12.776805288829218,23.337561893849486,36.562940806580436,26.4,1,34.8,13.3,9.2
190,10703,13.237321165454633,10.737202338514187,12.153344208809134,33.48543181710157,15.5,1,23.9,12.1,7.8
191,10704,10.929182879377432,8.709727626459143,8.886581567214316,38.032684824902724,8.6,1,14.3,10.1,7.0
192,10705,19.86197815060476,16.572376121732347,25.88704474810861,33.166699180647676,22.7,1,30.5,13.0,8.6
193,10706,5.503646308113035,3.0765724703737467,2.8828828828828827,37.716499544211494,4.6,1,2.1,13.7,8.7
194,10707,8.065931922364186,6.671218180044866,4.286589099816289,38.95445235540818,3.8,1,1.1,13.4,5.4
195,10708,6.433368681512902,4.546659597030753,5.89773387565369,40.756451042771296,4.5,1,0.7,10.9,7.5
196,10709,8.745874587458747,4.411441144114411,3.2265003226500326,39.14191419141914,1.7,1,0.0,10.1,4.5
197,10710,7.698717484240272,5.6336497355264115,5.307698017964517,36.935729294978636,6.9,1,9.8,11.5,8.4
198,10801,20.39664088817194,14.857427527636759,14.61627848229172,34.039474308487925,15.9,1,18.1,11.4,8.1
199,10803,6.926751592356688,4.036624203821656,5.110220440881764,30.90764331210191,3.3,1,2.1,8.5,4.4
200,10804,3.6422030886975536,1.1548448817821508,0.254957507082153,34.112341123411234,2.8,1,0.0,13.4,8.6
201,10805,15.559638977463115,9.879479003404851,10.320861809336268,40.72312597957089,9.5,1,9.4,12.7,9.0
203,10901,5.309069660670311,4.9209065486873405,1.046099290780142,36.3537710255019,6.5,1,3.4,9.0,5.7
205,10913,2.079630287948809,6.718805545680769,0.0,28.492712406683253,2.6,1,1.0,9.5,7.1
206,10916,2.696365767878077,2.83704572098476,0.0,28.675263774912075,4.4,1,2.0,12.1,7.7
208,10917,9.840674789128398,4.826616682286786,0.0,30.17806935332709,6.8,1,4.3,12.1,4.5
210,10918,3.0740378343118064,5.348988910632746,1.1980033277870217,31.156229615133725,5.0,1,4.8,10.7,7.9
213,10919,0.4507888805409466,11.194590533433509,0.0,33.50864012021037,5.0,1,8.5,9.7,6.5
215,10920,5.621268446547257,4.866508955728286,1.3911430558775797,33.2094175960347,6.9,1,3.1,9.5,6.4
216,10921,2.6970954356846475,3.034232365145228,1.6498137307078231,34.621369294605806,3.4,1,13.3,16.1,8.9
218,10923,12.278308321964527,10.766257389722602,4.40319447442262,30.547976352887677,11.1,1,9.5,6.7,7.6
219,10924,2.8458320884374064,4.989542874215715,2.8695792358536183,34.135046310128466,5.1,1,4.8,9.5,5.6
223,10925,0.9111056390051709,6.9687269145530655,0.7200720072007201,42.99433637035214,8.5,1,2.3,8.5,8.5
225,10926,6.82110682110682,9.234234234234236,4.545454545454546,39.44658944658945,8.8,1,12.0,11.1,12.8
227,10927,21.16336633663366,12.054455445544555,10.739406416194887,29.876237623762368,15.3,1,38.0,9.0,6.5
228,10928,4.470529470529471,4.395604395604397,3.9059032401242786,45.82917082917083,2.9,1,13.3,9.5,6.0
230,10930,6.386612021857923,6.4549180327868845,1.883758327590168,30.1115664845173,7.9,1,5.6,9.8,7.5
232,10931,12.739571589627962,12.852311161217587,3.0,35.062006764374296,10.8,1,9.8,20.0,5.0
234,10940,7.7448469325527505,8.413627678172135,6.408472826818651,35.914948977517575,14.5,1,26.1,12.9,9.1
237,10941,3.730554296933998,6.9777979157227,1.880104792726152,35.70457634798369,7.8,1,11.0,12.9,9.7
239,10950,3.1300289668490513,3.7717251367878974,14.152187625437238,25.45663018989379,30.2,1,22.0,6.1,4.7
241,10952,5.423842809444885,7.040426605174027,15.032999266682964,21.76022675410151,33.0,1,18.5,4.2,3.7
242,10954,9.360199776112976,4.878153793162835,1.9449509420856124,35.35692758115905,7.4,1,5.1,9.7,7.5
243,10956,5.618441971383149,3.9968203497615264,2.3575769718827218,32.2066772655008,4.8,1,2.4,9.1,6.8
244,10958,3.8128804870233903,3.524511374559436,2.311352821210061,29.541813521307283,3.2,1,14.6,10.3,10.3
246,10960,7.0651820016930404,8.543335286839877,6.400102197240673,40.658982874259294,12.9,1,8.2,8.2,5.6
247,10962,3.368571940512453,2.5622648270919197,0.38200339558573854,31.248880129009137,6.9,1,1.0,9.5,7.6
248,10963,7.318789584799437,4.621158808350927,1.4967259120673526,19.46985690828055,14.0,1,13.9,15.7,8.4
250,10964,5.925384052670081,5.413313825896124,0.0,38.112655449890276,7.9,1,6.3,10.0,13.6
251,10965,4.3501221202719655,6.033401544656413,2.926762864143752,35.91656214931679,7.2,1,0.6,8.5,6.0
252,10968,5.2467763450422416,5.42463317029791,0.5718954248366013,50.95598043574922,5.1,1,6.8,4.0,6.0
253,10969,2.138275124732716,10.049893086243765,0.0,35.637918745545264,1.6,0,11.5,11.4,2.9
254,10970,10.569937583137213,8.4825539752379,3.957568339453284,37.15338176609025,5.5,1,11.0,8.2,7.3
256,10973,4.0051679586563305,9.17312661498708,0.4850444624090542,33.0749354005168,4.5,1,13.9,11.1,9.5
258,10974,5.112219451371572,5.081047381546135,1.2121212121212122,34.32044887780549,5.8,1,2.8,7.8,6.3
260,10976,7.410151908114117,3.5198221563542056,0.0,29.084846239347907,17.8,1,3.9,3.3,0.0
261,10977,18.77161673431356,14.5074938012287,14.950455806579466,24.58345836162921,27.4,1,27.0,7.8,5.6
262,10980,6.072729870686576,5.8441094520254335,2.767920511000709,33.199971422447675,6.8,1,5.7,11.2,7.6
264,10983,4.2298202326401135,3.137116672541417,1.143984220907298,33.30983433204089,1.6,1,1.7,7.4,9.0
265,10984,3.1125827814569536,6.4238410596026485,0.0,31.953642384105958,2.7,1,0.0,12.5,4.7
266,10986,3.832547169811321,0.4716981132075472,0.0,33.077830188679236,3.1,1,0.0,15.4,2.5
268,10987,4.939024390243904,4.176829268292684,0.3309066843150232,40.945121951219505,2.1,0,0.0,4.1,10.0
269,10989,3.5710829381592952,6.116326333107519,0.7819950410070571,33.465595664376266,1.5,1,1.3,16.7,9.6
270,10990,1.8751905681471692,3.0084358166480336,1.8374164810690423,36.96005691635329,3.8,1,2.2,9.0,6.3
273,10992,0.6741328694139394,3.696857670979667,4.637985309548792,34.27204523214091,4.2,1,0.9,10.5,5.9
275,10993,12.770216172938351,9.107285828662931,11.566390041493776,28.78302642113691,10.7,1,12.6,9.9,5.6
276,10994,3.4500784108729747,3.3063251437532672,1.9157088122605364,34.23941453214846,4.2,1,1.3,12.2,12.8
277,10996,1.4065335753176045,0.0,0.35778175313059035,12.47731397459165,2.0,1,3.5,3.7,2.2
279,10998,2.372521246458924,9.206798866855523,2.844638949671773,30.842776203966004,5.4,0,4.1,18.3,10.8
280,11001,5.547920433996383,4.495479204339964,2.896106752694479,33.016274864376136,3.1,1,1.1,7.6,6.2
281,11003,15.494722955145118,8.942392260334213,4.422583032255256,26.5259454705365,7.0,1,7.3,11.3,8.7
282,11004,7.254449123760358,5.230267626681157,3.3653846153846154,34.662409998641486,6.8,1,7.1,14.0,11.4
283,11010,5.74595541790619,6.862545335995763,1.2580253340274163,31.578303924365297,3.7,1,2.2,10.1,8.6
284,11020,8.591885441527445,3.3412887828162283,1.603905160390516,29.307875894988065,4.7,1,3.1,5.5,6.4
285,11021,9.548611111111109,4.973118279569892,7.514519378926159,43.570788530465954,5.2,1,2.0,7.8,7.1
286,11023,7.928753180661578,5.770992366412213,4.730913642052567,29.669211195928757,6.1,1,2.2,9.0,4.7
287,11024,8.934531450577664,5.057766367137355,1.3296965564268668,26.50834403080873,6.5,1,1.1,8.0,6.6
289,11030,2.4827117106903978,2.5734043759210974,1.6815839435855708,34.83165174016551,4.2,1,1.1,12.3,5.3
290,11040,8.619898020830815,4.14199753510065,1.4201124046567644,30.777409922428173,3.3,1,2.0,8.4,8.4
291,11050,10.830870279146142,6.190476190476191,5.214502383359815,35.858784893267654,4.3,1,3.5,9.2,6.9
293,11096,17.9716919880535,16.179716919880537,12.078977932636471,31.71016751071289,22.5,1,24.6,13.3,7.3
294,11101,21.056404451990193,10.907375966798718,59.268381021369066,45.402754197321265,21.0,1,20.4,10.9,9.0
295,11102,19.11111111111111,14.447407407407406,55.78399269955446,41.10814814814815,17.9,1,30.8,9.8,8.2
296,11103,19.214636782378214,15.949152106224751,57.9864263173821,42.35608965286534,14.1,1,10.9,9.0,6.2
297,11104,26.06313692437361,17.408627691364643,56.42981399705607,44.057926595663176,14.1,1,10.1,9.3,6.0
298,11105,14.312143067807062,11.360163015792155,42.26024483622442,41.28482183553636,11.0,1,2.1,8.9,6.6
299,11106,19.972595092491567,12.794031820142608,58.52098971365025,43.72605242457307,17.5,1,21.3,11.1,7.7
300,11109,28.585817888799358,10.515713134568896,55.396916047972596,55.11684125705077,8.1,1,,10.1,7.6
301,11201,10.337823213066718,6.813073375401674,62.71612602824771,43.79380962687934,14.8,1,7.6,10.2,8.2
302,11203,17.858271865121182,11.12618545837724,36.87611881428442,36.19467860906217,18.0,1,13.9,14.9,12.3
303,11204,19.76881964402763,9.544698230222355,35.742718139887536,30.63959058135431,24.5,1,13.1,8.4,6.2
304,11205,10.669820161542237,8.559061091525725,62.235920130656964,34.816368423401315,33.9,1,18.3,8.3,6.7
305,11206,11.599565247554517,11.20412552320607,65.1762682717111,34.81141456420692,36.4,1,25.8,8.9,6.5
306,11207,14.745150186056984,10.807390805460534,44.66687169737467,34.44467083462912,30.0,1,30.3,14.2,11.2
307,11208,18.070312908112626,9.855299587316512,46.20283909969235,32.012746173536016,29.7,1,28.8,13.6,10.4
309,11209,11.922385066792483,8.481023856565715,33.059616194429395,43.42396272595913,14.3,1,12.9,10.4,7.4
310,11210,15.20128589172207,6.9350478556294295,33.744326265158186,32.51406444071016,14.2,1,13.4,11.9,9.3
311,11211,9.881557360649834,8.7041334880557,61.02432674314539,38.062702572926256,28.9,1,26.7,7.2,5.0
312,11212,15.163815934034163,11.001630642195469,55.77199097806028,36.529854629983,35.3,1,30.5,16.2,11.9
313,11213,15.802182351682612,12.67842406088578,55.85118127621992,37.39798881315525,26.4,1,21.6,10.7,8.3
314,11214,22.217861503575786,12.150052328623758,38.67231286586125,34.576138147566716,17.4,1,10.9,9.0,6.3
316,11215,8.854427213606805,6.361752304723789,49.95914443643355,41.459301079110986,8.1,1,11.1,7.7,5.2
317,11216,11.4053318045005,12.401461946395301,59.02091708114738,42.33373942955425,20.8,1,27.5,13.1,10.1
318,11217,7.985518489785362,7.1140418929402625,61.330674401740396,43.23247995862426,12.5,1,23.9,10.0,7.7
319,11218,17.081156205315978,10.982079619409067,44.78357875948237,32.9542569256057,22.7,1,17.8,9.3,7.2
320,11219,19.136539719796023,9.328362084185821,49.67645451669495,27.15319825106193,36.0,1,20.2,6.6,4.7
321,11220,35.79688335346415,19.166188147238774,59.732564475118046,28.66265370374037,33.7,1,30.3,8.2,5.3
322,11221,13.60401742151986,14.347764000285599,57.378146759507224,35.18813813456457,26.9,1,28.1,13.6,9.8
323,11222,13.620955315870571,13.08026334220479,57.97689390598818,47.788205631040775,12.3,1,13.5,8.1,6.4
324,11223,18.551360842844602,10.348676784146496,31.77897160399079,34.33212090806472,20.1,1,20.9,9.7,6.9
325,11224,8.99088481723598,7.978086732345088,37.191478306053526,41.794033698554465,26.7,1,25.8,14.1,10.9
327,11225,15.431924804800822,12.27724085340583,61.38004538265832,38.925451320391886,19.6,1,14.5,12.2,8.8
328,11226,20.81012310019944,14.323047147474627,58.610012041974876,35.75996934775561,18.9,1,24.4,14.8,10.8
329,11228,14.721427952517114,6.8061693094185935,20.976188123703192,33.06689195043757,13.1,1,8.7,9.3,6.5
330,11229,13.351183153629062,6.7141857828593485,27.419626798561158,37.41708276045059,16.1,1,10.3,9.7,7.1
331,11230,15.760179011165713,10.118853518941226,36.32708159806991,34.48438712289026,24.1,1,15.8,8.7,6.6
332,11231,9.065616219492039,6.3990964685141325,50.63925272660856,42.60922263236185,14.8,1,18.3,9.6,7.4
333,11232,25.300302855003913,16.936060162656958,61.13389979490185,30.377377752067247,27.6,1,37.3,10.7,7.9
334,11233,10.899541290760679,11.00763591513186,54.53713123092574,38.419323992849115,29.8,1,27.1,13.8,11.3
335,11234,9.470830804010633,7.429929039415571,17.125068418171868,33.54405207962657,8.9,1,8.7,11.8,8.5
